id, x,y,z,d,w,distance
0,-2.92007,1.0973,4.88894,1,0.513919,0.612775
0,-2.91561,1.32161,4.86672,1,0.106254,0.836621
0,-2.93227,1.3021,4.96648,1,0.115098,0.805654
1,-5.76433,-0.0868766,11.7343,0.999999,0.0765928,0.68598
1,-8.95,10.9771,15.2996,1,115.323,11.3736
1,-7.80692,2.03095,16.3456,1,34.1537,4.94906
2,-8.8826,10.9293,15.2633,1,0.0769142,1.19169
2,-8.88304,10.9305,15.262,1,0.10986,1.19341
2,-3.73757,-0.0386736,19.8424,0.999999,131.247,11.968
3,-3.73434,-0.0172438,19.7944,0.999999,0.0790276,0.616767
3,-3.73336,-0.0150605,19.8032,1,0.104112,0.612458
3,-3.73241,-0.0216795,19.8011,1,0.137278,0.619131
0,-2.98224,0.991947,5.03674,1,0.0852816,0.493637
0,-2.98404,0.995129,5.03385,0.99999,0.115104,0.496541
0,-3.00037,1.00264,5.04873,0.999999,0.138819,0.504996
1,-5.86372,0.846749,11.9511,1,0.110225,0.375761
1,-5.86681,0.846334,11.9514,1,0.138635,0.374234
1,-5.86043,0.841303,12.0268,1,0.143023,0.369708
2,-12.3665,-6.00009,-5.46215,1,0.0225968,26.9807
2,-5.86043,0.841303,12.0268,1,115.631,10.4654
2,-6.13172,1.92791,15.4788,1,100.582,8.58238
3,-3.86222,0.232328,19.8527,1,0.154308,0.335174
3,-3.83928,0.254237,19.8642,1,0.153411,0.323532
3,-3.8358,0.249143,19.8689,0.999999,0.184561,0.327218
0,-2.98698,0.678822,5.00947,1,0.108102,0.179545
0,-2.94279,0.352023,5.03011,1,0.11357,0.161482
0,-2.95811,0.330461,5.07038,1,0.14402,0.188286
1,-5.89955,0.690344,11.9042,0.999999,0.150233,0.2356
1,-5.77939,0.327286,11.658,1,0.207303,0.442092
1,-5.8024,0.339236,11.9427,1,0.140949,0.261108
2,-9.05089,9.42395,15.8548,1,0.145344,0.596235
2,-9.05976,9.51979,15.9602,0.999999,0.149231,0.485549
2,-9.13012,9.53093,15.9461,0.999999,0.14981,0.48976
3,-3.89358,0.4242,19.8671,1,0.164332,0.186401
3,-3.89519,0.437223,19.8378,1,0.159291,0.203026
3,-3.89555,0.371701,19.8169,1,0.152065,0.24675
