id,x,y,z,d,varx,vary,varz,vard,distance
0,-4.85805,-3.0682,1.82934,0.00852893,0.445717,2.2662,2.18983,0.000996536,0.232221
1,-9.82421,1.12149,12.1116,0.00716133,0.837356,3.09101,2.44001,0.000929107,0.241058
2,-13.7856,9.84076,18.1103,0.00741726,1.89755,4.6462,3.91457,0.000945107,0.288952
3,-20.1068,0.331783,31.7089,0.00811042,3.13409,6.8162,3.26848,0.000974757,0.352777
0,-4.97825,-2.86186,2.05891,0.0132182,0.259242,1.23215,0.776968,0.00064887,0.15174
0,-4.97496,-2.88351,2.04511,0.0134402,0.267525,1.09876,0.725106,0.000648802,0.127409
0,-4.97342,-2.88938,2.01776,0.0136314,0.303289,1.15997,0.65735,0.000642373,0.115144
1,-9.90583,1.01826,12.0087,0.0123464,0.624599,2.18409,1.02434,0.000597705,0.09632
1,-9.92466,1.06577,11.9858,0.0124198,0.644292,1.83363,1.08302,0.000591322,0.101008
1,-9.91986,1.03764,12.0031,0.0126995,0.662482,1.81624,0.953496,0.00059517,0.0885964
2,-13.7991,9.96615,18.1097,0.0127661,1.13365,2.50065,2.36092,0.000661369,0.231351
2,-13.8075,9.89071,18.1576,0.0129691,1.09256,1.75722,2.07988,0.000661912,0.271683
2,-13.8034,9.9791,18.138,0.0130848,1.06293,1.24181,1.42306,0.000663631,0.241083
3,-20.2485,0.450333,31.6837,0.0130988,1.81478,5.65267,1.40053,0.000670331,0.405357
3,-20.3157,0.480083,31.6278,0.0134446,1.58416,5.4614,1.11663,0.000675385,0.488411
3,-20.2765,0.515197,31.7112,0.0136122,1.50763,3.08556,1.04388,0.000673433,0.400167
0,-4.97847,-2.87595,2.02769,0.0139497,0.306892,1.05366,0.509039,0.000641335,0.128909
0,-4.97914,-2.88772,2.02896,0.0141781,0.311996,0.900359,0.50908,0.000651207,0.117812
0,-4.97505,-2.87993,1.99803,0.0142132,0.326824,0.91995,0.432429,0.000645842,0.122649
1,-9.9438,1.02113,11.9573,0.0128508,0.655585,1.73313,0.766939,0.000581623,0.0737082
1,-9.98198,1.14669,11.912,0.0130945,0.659398,1.25133,0.793605,0.000584136,0.171985
1,-9.96568,1.09413,11.9542,0.013183,0.66275,1.14704,0.627885,0.000581654,0.110184
2,-13.8056,9.98533,18.1246,0.0134895,1.01327,1.16302,1.24673,0.00067135,0.231354
2,-13.8048,9.95972,18.1319,0.0137288,1.01276,0.976394,1.24934,0.000674116,0.238964
2,-13.8128,10.0471,18.0798,0.0137331,0.996239,0.639487,0.824744,0.000660761,0.208871
3,-20.2813,0.569059,31.7394,0.0136223,1.37904,2.72519,0.771194,0.000666294,0.389658
3,-20.3035,0.566165,31.7133,0.013846,1.34276,2.72767,0.691687,0.000667511,0.422726
3,-20.2775,0.596268,31.7534,0.0136919,1.32301,1.66416,0.659368,0.000645889,0.383489
0,-4.97407,-2.87409,2.00662,0.0143062,0.339843,0.898464,0.395865,0.00063416,0.128723
0,-4.97182,-2.88665,2.00831,0.0144579,0.345865,0.792208,0.405834,0.000636741,0.117098
0,-4.96735,-2.87194,1.98874,0.0145043,0.364334,0.790042,0.352443,0.000632214,0.132641
1,-9.9853,1.08974,11.9246,0.0131878,0.670747,1.13228,0.561518,0.000571175,0.118136
1,-10.0159,1.16945,11.8861,0.0132573,0.670417,0.78343,0.570426,0.000565386,0.204787
1,-9.99724,1.13034,11.9216,0.0133626,0.683756,0.713555,0.468293,0.000567549,0.15215
2,-13.8134,10.0493,18.0752,0.0140371,0.980275,0.616242,0.763463,0.00066798,0.207119
2,-13.8233,10.0358,18.067,0.0140452,0.98537,0.538157,0.773373,0.000660923,0.192309
2,-13.8232,10.0793,18.0423,0.014115,0.983779,0.387109,0.599918,0.000661504,0.198328
3,-20.2759,0.625545,31.7683,0.0136278,1.30707,1.52565,0.567246,0.000633802,0.381541
3,-20.2901,0.629765,31.7473,0.0138348,1.30879,1.53209,0.542953,0.000635892,0.406078
3,-20.2783,0.641527,31.7665,0.0137534,1.30013,1.00116,0.527218,0.000624305,0.389909
0,-4.96504,-2.86899,1.9899,0.0145538,0.376308,0.791128,0.342095,0.000624418,0.135972
0,-4.96341,-2.88156,1.9887,0.0148449,0.381546,0.677101,0.353351,0.000632125,0.124475
0,-4.96129,-2.87707,1.98241,0.0148457,0.400113,0.665902,0.318455,0.000624447,0.130076
1,-10.0149,1.12868,11.9004,0.0135167,0.691299,0.717086,0.438406,0.000566756,0.1634
1,-10.0373,1.17455,11.8747,0.0135832,0.685633,0.510764,0.445745,0.000559575,0.218069
1,-10.0307,1.153,11.8966,0.0136833,0.697477,0.473107,0.389323,0.000555326,0.187213
2,-13.8239,10.0812,18.0401,0.0141631,0.982752,0.377012,0.568852,0.00065541,0.197985
2,-13.8309,10.0738,18.0354,0.0143121,0.995998,0.332288,0.583018,0.000660203,0.187875
2,-13.8276,10.093,18.019,0.0144267,1.01955,0.26528,0.495671,0.000666054,0.196799
3,-20.2794,0.651609,31.7723,0.0138821,1.2971,0.932661,0.479618,0.000623883,0.391006
3,-20.2847,0.647465,31.7572,0.0141186,1.29853,0.944375,0.462094,0.000630805,0.402214
3,-20.2772,0.654769,31.7699,0.0139738,1.29153,0.65951,0.463314,0.000622561,0.392092
0,-4.96228,-2.87625,1.98828,0.015068,0.406481,0.66512,0.31461,0.000631063,0.129902
0,-4.95802,-2.88283,1.98922,0.0152181,0.414124,0.582754,0.326854,0.000633696,0.124926
0,-4.95618,-2.87856,1.98081,0.0153404,0.423396,0.561827,0.289526,0.000642169,0.130523
1,-10.0392,1.15186,11.8814,0.0137838,0.698072,0.483121,0.371936,0.00055178,0.196661
1,-10.0476,1.17449,11.8716,0.0138183,0.700289,0.354865,0.384641,0.000540696,0.221841
1,-10.0384,1.16041,11.8921,0.0138281,0.711597,0.337906,0.345214,0.00053384,0.197105
2,-13.8247,10.0941,18.021,0.0146945,1.03102,0.263963,0.480657,0.000674066,0.200049
2,-13.8285,10.0846,18.0207,0.0148789,1.03565,0.241278,0.491322,0.000678449,0.192317
2,-13.8218,10.096,18.0162,0.0150958,1.05812,0.204113,0.444735,0.000694089,0.203084
3,-20.2814,0.657633,31.7735,0.0142001,1.29856,0.616122,0.43677,0.00063005,0.394153
3,-20.2856,0.652022,31.7624,0.0144112,1.29397,0.62219,0.434401,0.000633238,0.401409
3,-20.2879,0.652877,31.771,0.0143543,1.29285,0.483074,0.436649,0.000630388,0.398416
0,-4.95972,-2.87558,1.9833,0.0155478,0.430427,0.568581,0.282416,0.000644682,0.131839
0,-4.95452,-2.88188,1.98288,0.015663,0.437127,0.505137,0.293526,0.000648756,0.127725
0,-4.953,-2.8763,1.97911,0.0158467,0.451761,0.490431,0.274575,0.000655886,0.133967
1,-10.0437,1.15883,11.8827,0.0139114,0.712032,0.344292,0.331448,0.00053157,0.202207
1,-10.0506,1.16559,11.874,0.0139691,0.723396,0.269231,0.34241,0.000531511,0.214156
1,-10.0498,1.15157,11.8863,0.0140671,0.734215,0.259253,0.317616,0.000529156,0.195915
