N,x,y,z,d,varx,vary,varz,vard,distance
100,14.3096,-0.569121,5.5892,0,131.375,165.041,234.687,0,24.7297
100,35.9608,1.81177,7.59023,0.0236785,0.167333,0.202902,0.266167,0.00170698,46.0427
100,14.2042,0.738408,1.66206,0,108.862,164.379,270.759,0,25.6012
100,12.567,11.3615,22.6003,-0.00118412,3.48675,3.43476,2.7858,0.000592316,28.0359
100,16.6619,0.904639,10.6061,0.00214349,44.8846,138.903,262.619,0.000626329,26.6719
200,-10.7737,0.265786,8.68392,0.0117397,0.146541,0.222092,0.166854,0.0009398,1.54454
200,-10.7658,0.267447,9.02186,0.0255593,0.100095,0.078583,0.163862,0.00201689,1.26383
200,-10.5184,0.209309,9.29774,0.0296128,0.181084,0.085893,0.309308,0.00276403,0.920015
200,-10.2173,0.16796,9.65257,0.0448669,0.216773,0.0646834,0.348008,0.00542954,0.527422
200,-9.97814,0.165158,9.95455,0.0614298,0.151582,0.0313746,0.229328,0.0069151,0.338619
300,-10.1193,1.59177,10.0528,0.0134162,0.0667452,0.0885219,0.0873874,0.00120555,1.09953
300,-10.0822,1.52903,10.0574,0.0284838,0.0453636,0.0606787,0.0661281,0.00272057,1.0339
300,-10.0707,1.45646,10.0537,0.0378733,0.0381711,0.0692303,0.0629925,0.00387544,0.960568
300,-10.0689,1.38283,10.0502,0.0443924,0.0332172,0.0897056,0.0600212,0.00512759,0.886928
300,-10.0602,1.30427,10.0292,0.0542605,0.0307415,0.103295,0.0572719,0.00591167,0.807041
400,-9.96463,0.965546,10.2119,0.00851177,0.292561,0.936423,0.45599,0.00113128,0.512711
400,-10.0438,1.04469,10.0881,0.0220281,0.15941,0.274039,0.218336,0.00194633,0.553504
400,-10.0995,0.978172,9.9931,0.0354963,0.0755196,0.179578,0.128944,0.00317375,0.488457
400,-10.0967,0.909504,9.96208,0.0448878,0.0502124,0.174985,0.077107,0.00479173,0.422473
400,-10.0825,0.862206,9.9609,0.045497,0.0419668,0.155815,0.0580276,0.00618325,0.373524
500,-9.50847,1.35621,11.0378,0.00695248,0.173876,0.0994512,0.250167,0.000937845,1.43236
500,-9.69679,1.39727,10.6247,0.0225397,0.126912,0.0859621,0.151867,0.00249927,1.1346
500,-9.77315,1.38254,10.4767,0.0347002,0.091243,0.0710465,0.108063,0.00375912,1.02839
500,-9.81966,1.34337,10.4039,0.0398969,0.066411,0.0610175,0.0826951,0.00471897,0.952344
500,-9.84811,1.31411,10.3492,0.0514033,0.0584159,0.0558339,0.0700526,0.00665781,0.898748
600,-10.4812,1.68986,8.82175,0.0169202,0.245025,1.12195,1.85274,0.00169089,1.7423
600,-10.0617,0.941416,10.0143,0.0127771,0.220742,0.636718,0.320635,0.00159313,0.445937
600,-9.91062,0.665831,10.148,0.0172149,0.151871,0.389297,0.205851,0.0018737,0.239592
600,-9.8586,0.569097,10.1955,0.0343368,0.116316,0.286154,0.151876,0.00333723,0.250968
600,-9.83572,0.527084,10.2108,0.0400931,0.0983602,0.220116,0.130153,0.00494109,0.268644
700,-10.1088,-1.60571,9.05443,0.0106675,0.226761,1.32474,0.784995,0.00103383,2.31083
700,-9.96674,-1.01421,9.74409,0.0196296,0.173249,0.782,0.397677,0.00206473,1.53604
700,-9.88358,-0.616183,9.96491,0.0225274,0.128201,0.512717,0.291663,0.00248374,1.12279
700,-9.79096,-0.374216,10.1152,0.0321682,0.0803597,0.324122,0.169804,0.00353922,0.906209
700,-9.75685,-0.26063,10.1772,0.0380093,0.0493073,0.223449,0.100687,0.00418535,0.817972
800,-9.93763,0.230343,10.0319,0.00562152,0.0942738,0.217153,0.218825,0.000811031,0.278614
800,-9.93697,0.269718,10.0235,0.0154983,0.0655015,0.126874,0.115599,0.00164933,0.23991
800,-9.94423,0.296237,10.0222,0.0258272,0.0520347,0.102161,0.0898181,0.00263813,0.212423
800,-9.95648,0.317304,10.018,0.0359516,0.0430472,0.0881062,0.0758077,0.00372516,0.188665
800,-9.96182,0.330445,10.0165,0.0468824,0.0390397,0.0757208,0.0634417,0.0052024,0.17458
900,-10.1054,-0.927514,9.48922,0.00354662,0.23875,1.56792,0.695029,0.00070609,1.5198
900,-9.9921,-0.937342,9.68318,0.0158566,0.123208,0.131637,0.162218,0.00174362,1.47187
900,-9.97502,-0.764494,9.74258,0.0251966,0.0801593,0.142806,0.105832,0.00252463,1.29067
900,-9.99021,-0.591785,9.76035,0.0329966,0.0725526,0.151688,0.0820897,0.00352996,1.11782
900,-10.0075,-0.426922,9.77632,0.0395031,0.0655768,0.156184,0.0698706,0.00477017,0.953559
1000,-9.83887,2.5431,10.6204,0.00308782,0.16686,0.255317,0.349995,0.000656313,2.14128
1000,-9.9043,1.85528,10.3124,0.0159584,0.112155,0.460035,0.182748,0.0016512,1.39411
1000,-9.96406,1.23375,10.1685,0.024514,0.0647642,0.248507,0.106275,0.00246198,0.753699
1000,-9.97411,1.02315,10.1299,0.0348536,0.0485796,0.112741,0.075907,0.00371241,0.539656
1000,-9.97591,0.943794,10.1124,0.0420212,0.0402247,0.0805186,0.0597588,0.00492065,0.458439
1100,-10.1126,1.19241,9.69944,0.00931097,0.149701,0.254405,0.39198,0.00107466,0.763189
1100,-10.123,1.07647,9.83052,0.0220367,0.110564,0.17836,0.19146,0.00221743,0.613319
1100,-10.1026,0.989155,9.89029,0.0319034,0.0877782,0.159706,0.144952,0.00350766,0.511698
1100,-10.0829,0.923339,9.92666,0.0406147,0.0737199,0.149828,0.11784,0.00429021,0.437571
1100,-10.0643,0.869931,9.94486,0.049218,0.0597671,0.137204,0.0941384,0.00586005,0.379512
1200,-9.15501,1.34614,11.2914,0.00626559,0.227206,0.503558,0.331168,0.00076709,1.76004
1200,-9.36317,0.963192,10.8006,0.0192694,0.118806,0.271045,0.167085,0.0020307,1.12296
1200,-9.60082,0.830501,10.5229,0.034845,0.0953937,0.17873,0.137306,0.00376877,0.736181
1200,-9.73426,0.756817,10.3775,0.0437586,0.0667419,0.130833,0.0995965,0.00506363,0.528271
1200,-9.80198,0.708016,10.29,0.0550324,0.0512254,0.105768,0.0746911,0.00716412,0.408151
1300,-10.0053,0.519622,9.74049,0.00970616,0.317412,1.18939,1.2873,0.00113886,0.260305
1300,-10.0695,0.828785,9.88878,0.0185816,0.136874,0.207863,0.243794,0.00202423,0.353966
1300,-10.1231,0.757168,9.83045,0.0306061,0.0816768,0.137856,0.137342,0.00354129,0.331712
1300,-10.1375,0.715532,9.82073,0.0384533,0.0558612,0.116013,0.0857731,0.00440328,0.31227
1300,-10.1369,0.679142,9.83194,0.0455167,0.0479516,0.10588,0.0716613,0.00528006,0.281214
1400,-9.88022,0.579743,10.0796,0.00695572,0.213392,1.31144,0.647422,0.000928567,0.16447
1400,-9.87515,0.623011,10.1416,0.0193744,0.119467,0.654872,0.137198,0.00191784,0.225307
1400,-9.88231,0.499256,10.1318,0.0272368,0.0860169,0.497972,0.100428,0.00285923,0.176731
1400,-9.88603,0.431432,10.1183,0.0335703,0.0660151,0.381808,0.0842423,0.00389551,0.178011
1400,-9.89965,0.394117,10.1046,0.0399214,0.0511038,0.303046,0.0751156,0.0048645,0.179485
1500,-9.35103,-0.348108,11.1892,0.00175741,1.14767,1.46403,1.99909,0.000575412,1.59833
1500,-10.0528,0.483464,9.95777,0.0154293,0.302153,0.430121,0.342369,0.00160957,0.069594
1500,-10.1266,0.539748,9.86259,0.0254937,0.152802,0.265715,0.194149,0.00284331,0.191011
1500,-10.1182,0.538386,9.86964,0.0347735,0.105727,0.188914,0.138841,0.0043596,0.180138
1500,-10.1035,0.527274,9.8791,0.0430555,0.0807133,0.138734,0.11057,0.00554448,0.161455
1600,-10.0111,0.731892,9.83771,0.00807643,0.450415,2.20317,1.82982,0.000953733,0.283256
1600,-9.99869,0.867785,9.98892,0.0207986,0.266688,1.26651,0.55105,0.00211094,0.367954
1600,-10.0334,0.874819,9.95707,0.0348772,0.161288,0.804862,0.280331,0.00387516,0.378744
1600,-10.0677,0.83632,9.92543,0.0465282,0.112088,0.529601,0.185692,0.00551464,0.351074
1600,-10.0935,0.789549,9.89219,0.0584875,0.0834602,0.379056,0.141169,0.00712478,0.322802
1700,-9.82923,0.286549,10.2193,0.00563566,0.128205,0.79067,0.440157,0.000811878,0.350477
1700,-9.91021,0.346601,10.1094,0.0185729,0.0480022,0.196697,0.0872777,0.00181465,0.208726
1700,-9.91511,0.368665,10.0977,0.028203,0.0362829,0.142823,0.0547889,0.00298266,0.184373
1700,-9.91898,0.373607,10.0878,0.0355475,0.0331479,0.119245,0.0461875,0.00407054,0.173925
1700,-9.92346,0.38196,10.0766,0.044543,0.0307067,0.10441,0.0423489,0.00518905,0.160181
1800,-10.1666,0.326619,9.47077,0.00402569,0.238591,0.939983,0.567357,0.000762125,0.581281
1800,-10.0144,0.495791,9.91402,0.0180966,0.094169,0.378631,0.172783,0.00186708,0.0872724
1800,-9.96463,0.542911,10.0159,0.025369,0.0632787,0.208409,0.107249,0.00288569,0.0578452
1800,-9.94702,0.5587,10.0552,0.0367865,0.0480743,0.14343,0.0794958,0.00399644,0.0964515
1800,-9.93965,0.55873,10.0744,0.0445866,0.0398435,0.114594,0.0622699,0.00545252,0.112354
1900,-9.61929,0.366795,10.4564,0.00560137,0.194613,1.05851,0.732493,0.000727099,0.609102
1900,-9.73277,0.292266,10.2529,0.0169933,0.12895,0.780481,0.335157,0.00190642,0.422509
1900,-9.80257,0.376621,10.1969,0.0316112,0.0929054,0.615458,0.20121,0.00358993,0.304894
1900,-9.84295,0.486655,10.1769,0.0412649,0.0724022,0.467294,0.132818,0.00509087,0.236922
1900,-9.87428,0.559689,10.1561,0.0512464,0.0597743,0.349272,0.0951415,0.00645737,0.209119
